avgTemp,minTemp,maxTemp,rainFall,avgPrice
-4.9,-11,0.9,0,2123
-0.1,-5.5,5.5,0.8,2123
-2.9,-6.9,1.4,0,2123
-1.8,-5.1,2.2,5.9,2020
-5.2,-8.7,-1.8,0.7,2060
-7.3,-11.4,-2.5,0.3,2060
-6.7,-11.2,-1.2,0,2140
-5.6,-11.4,1.4,0,2140
-3.1,-8.8,1.8,0.1,2140
-1.3,-5,2.8,0,2140
-1.5,-5.1,2.1,0,2140
-5,-8.2,-1.7,0.4,2140
-8.3,-11.4,-4.6,0.7,2140
-6.4,-12.7,0,0.1,2140
-2.6,-7.9,3.9,0.1,2140
-4.1,-9.9,2.9,0,2140
-3.1,-9.8,4.9,0,2140
-0.4,-7.1,7.7,0,2140
3.6,-4.6,11,0.3,2140
8,4.9,11.3,10.8,2175
1.3,-3.6,7.9,3.1,2211
-3.1,-5.7,0.8,0,2211
-2.7,-6.6,2,0.1,2211
0.4,-5.5,5.8,0,2211
0.8,-4.3,5.4,0,2211
-2.3,-7.7,4.3,0,2178
1.3,-5.9,7.4,6.5,2178
3.5,-0.7,7.4,0.1,2311
0.2,-4.3,5,0,2344
1.9,-3.3,7.5,0,2344
3,-1.3,9.4,0,2344
2.2,-1,6.8,0.2,2380
-2,-5.5,1.8,0,2520
-4.9,-8.6,-0.3,0,2620
-2.9,-8.4,2.2,0.1,2720
-1.8,-5.9,3,0,2820
-2.6,-8.5,4.7,0,2820
1.2,-8.3,8.6,0.1,2820
4.9,2.8,7.3,2.7,2980
5.6,3.6,7.8,6.9,3040
5.1,4,6.5,9,3040
2.4,0.7,5.2,17.3,3080
0.7,-0.6,2.7,3.1,3180
-0.7,-3.3,2.2,1.9,3180
-1.2,-4.9,2.5,0,3180
-0.5,-4.4,5,0.1,3180
-1.6,-5,3.2,0.6,3180
-1.2,-6.1,3.6,0.4,3280
-1.1,-4.8,2.4,0.5,3300
-0.6,-6.1,5.4,0.1,3300
2.2,-4.2,9.7,0,3300
3.7,-3.4,11.6,0,3300
5.2,-0.8,12.8,0,3260
6.4,-1.2,16.4,0,3260
11.2,1.2,18.9,0,3300
13.4,10.3,16.4,33.4,3260
9.4,6,13.5,4.1,3340
6.3,3.8,9.2,1.5,3340
7.1,3,12.6,0.1,3340
5.4,3.4,8,15.6,3340
4.2,1.8,6.9,0.3,3340
5.2,-0.4,10.5,0,3760
5.9,4.4,7.2,3.9,3860
6.9,5,9.4,3.8,4140
5.5,3.1,8.1,3.3,4140
4.2,2.3,7,0.9,4140
3.8,0.1,7.6,0.9,4200
2.3,-0.8,5.8,5.7,4400
-0.3,-2.9,2.6,3.9,4400
3,-2.8,8.4,0,4400
8.3,1.7,14.5,0,4300
6.1,1.6,12.5,0,4300
8,1,12.9,1.1,4300
9.4,4.5,14.4,16.5,4400
3.2,-0.4,7.2,0,4300
2.4,-2.7,7.3,1.1,4440
2.1,-1.8,6.5,2.3,4440
6,-3.5,13.9,0,4440
10.9,5.1,18.5,1,4440
4.7,1,9.3,0,4440
4.4,0.4,8,2,4440
7,3.3,11.4,2.4,4640
8.3,3.9,13.1,0.1,4680
5.1,1.4,8.5,4.6,4780
3.2,-2,8,0,4880
5.6,0.5,10,0.9,4880
6.2,1.7,11.4,0,4880
5.6,-1.3,12.9,0,5040
7.8,1,13.6,0,5300
8.8,6.3,10.9,18.8,5400
8.9,5.1,11.6,15.8,5600
7.3,1.3,12.7,0,5600
6.2,0.8,12.4,0,5600
8.4,-0.5,16.6,0,5600
11.9,4.9,19,0,5700
10,5.1,15.2,0.1,5800
6.9,1.4,12.9,0.1,5900
8.5,0,16.5,0,6000
11.5,4.6,19.5,0,5900
12.2,6.9,17.7,0.1,5900
12.3,7.9,17,0.9,5900
11.8,9.2,15.9,3.8,6000
6.9,3,11.3,1.6,6200
4.4,0.9,8.9,0.7,6200
6.2,-0.2,12.5,0,6200
7.4,0.2,14.4,0,6100
8.8,0.8,16.5,0,6100
10.9,3.8,16.3,0.2,6100
14.2,10.1,18.4,5.5,6100
15.6,10.2,22.5,0.2,5900
12.4,8.7,16.6,8,5900
9.9,7.9,12.3,13.9,5900
9.6,6.2,14.5,2,5800
10.5,4,17.6,0,5800
12.7,3.8,20.9,0,5800
12.4,9,17.5,23.7,5700
10.2,5.6,14.7,4.2,5600
6.3,3.2,10,7.8,5600
10.2,5.2,15,0.5,5600
11.4,5.7,16.8,0,5400
12.5,4.3,19.9,0,5400
16.8,7.3,25.1,0,5400
20,13.7,25.8,0,5083
20.8,15,27.1,0,5000
20.2,14,25.7,0.4,5000
17.6,11.6,23.6,5.2,4813
16.7,9.9,23.9,0,4813
17.2,9.3,24.8,0,4813
18.1,11.6,25.3,0,4813
16.6,12.4,22,0.1,4722
13.9,8.5,20.3,0.8,4556
13.8,7.9,20.4,0,4533
14.5,8.2,21.2,0,4533
15.9,8.7,23.1,0,4380
16,9.8,22.5,0,4380
18.3,10.2,26.5,0,4380
19.4,11.5,26.9,5.8,3860
18,16.4,19.7,51.4,3920
19.3,15.1,24.6,2.4,4020
20.6,13.9,28.2,0,4020
21.7,13.8,30.2,0,4020
17.8,14.7,22.6,24.2,4020
15.8,14.3,17.5,26.8,4020
15,13.5,17.3,4.8,4000
15.2,12.9,18.4,1.9,3740
16.3,11.9,21.4,0.2,3700
16,10.2,22.4,0,3700
15.5,11.3,20,0,3700
17.3,12.7,23.5,0,3700
16.8,11.5,22.9,0,3700
16.1,11.6,21.5,0.1,3460
16.4,9.7,23.1,0,3320
18.4,11,25.5,0,3320
20.5,13.5,27.6,0,3220
21.5,14.8,28.7,0,3220
22,15.3,29.6,0.5,3220
22.1,16.1,29.7,1.6,3220
21.7,16.3,28.3,0.6,3200
21.4,14.9,28.1,0,3200
22.4,14.8,30,0,3200
22.6,15.8,30,0,3100
22.3,16,28.6,0.8,3100
20.3,17.6,23.3,11.9,3100
22.7,19,27.7,2.9,3100
23,18.8,28.1,2.8,3060
23,19.4,28.7,2.3,3060
23.4,18.6,29.3,0.2,2800
24.5,19.5,30.1,0,2800
23.8,20.7,27.9,1.8,2800
22.9,20.2,27.1,2.3,2800
23.4,20.1,28.1,4.6,2800
23.1,18.8,28.6,0,2900
23,17,29.3,0,2760
22.5,17.4,28.4,0,2800
23.1,16.5,29.9,0,2700
23.7,18.6,29.6,0.8,2700
22.6,20.4,25.1,11.4,2700
22.7,20.6,25.5,3.9,2700
23.2,20,27.9,9.2,2700
24.2,20.1,29.4,0.1,2760
24.1,21.3,28.1,3.7,2800
24.8,21.8,28.8,5,2567
24.3,23,26.2,17.1,2544
24.8,22.8,27.9,6.1,2544
24.2,22.3,27.1,1.4,2544
25.3,22.1,30.1,1,2574
25.8,21.3,31.6,0.4,2664
24.7,20.7,29.8,1.1,2738
23.7,20.1,28.4,0.7,2771
24.5,20.4,30.2,0.8,2771
24.6,20.4,29.3,4.6,2771
22.1,20.6,24.5,57.6,2771
23.2,20.1,26.7,0.6,2953
23.2,20.3,27,11.3,3216
23.9,20,28.7,0.1,3155
24.4,20.5,29.3,0.9,3300
24.1,22,27.1,54.1,3327
25.1,23.2,27.8,36.6,3327
26.8,23.5,30.8,1.1,3327
27.1,23.4,31.9,0.7,3721
27.5,23.6,32,0.5,3671
27.7,24.1,32,2.2,3700
27.9,24.4,32.4,0.2,3744
26.2,23.1,30.9,21.3,3759
26,22.9,30.9,6.7,3759
26,22.8,31.1,5.6,3759
26.3,23.1,31.1,1.9,3694
26.7,22.9,31.9,3.2,3792
25.2,22.5,28.5,14.4,3792
26.5,23.4,30.9,0.7,3678
27,24.1,30.9,0.1,3776
27.8,24.3,31.7,0,3776
28.5,25.2,33,0,3776
27.3,24.2,31.8,4.4,4316
26.2,23.5,29.9,1.8,4360
28.2,24.5,32.9,1.9,4360
28.8,25.2,33.4,2.6,4360
27.9,25.5,32.2,9.1,4151
26.9,24,31.7,8.4,4151
27,23.1,32.3,1.9,4151
27.9,22.8,33.3,1.3,4240
26.3,24.5,29.5,43.3,4149
26.8,24.3,30.4,32.4,4093
26.3,22.9,30.4,3.1,4270
26.2,23.6,29.8,38,4270
27.1,24.8,30,14,4270
27,24.7,30.1,38.2,4270
25.4,22.8,29.2,20.6,4258
25.8,22.3,30.7,16.9,4258
26.7,23.2,31.8,14.4,4070
27.6,24,32.4,0.4,3642
28.1,24.2,33.3,0.2,3662
28.5,24.3,33.9,0,3662
28.5,24.3,33.6,0.2,3662
27.7,24.4,32.1,6,3612
26.5,23.6,31,6.8,3749
24.4,22.4,28.1,19.3,4146
25.5,22.6,29.4,12.7,4371
26,23,29.9,6,4371
26.2,24,28.8,18.3,4371
25.8,23.5,29.3,29.3,4371
25.9,23.5,30,4.7,4360
25.4,23,29.9,17,4383
26.6,23,31.7,14.8,4420
26,23.5,29.8,26.7,4420
26.8,23.4,31.7,3.4,4495
26.9,23,32.1,0.1,4495
26.6,23.2,32.3,10.3,4495
24.5,22.9,26.9,21.5,4895
23.9,21.6,27.1,18.6,5183
22.1,19.9,25.2,0.2,5183
22.6,19.3,26.3,12.4,4945
25.1,21.5,29.8,17.4,4945
24.2,22.6,26.5,42.6,4945
23.4,20.3,27.3,34.2,4945
22.7,19,28,0.2,5535
22.6,18.8,28,0.2,5748
22.3,17.6,28.5,0.5,6664
22.3,16.9,29.5,0,6807
22.8,17.3,30,0,6829
23.3,18.1,30.1,0,6829
21.9,18.2,26.4,6.1,6829
23.2,20.2,27.3,7.4,7184
24.9,20.6,29.7,30.1,7184
18.5,16.1,23.2,9.7,7184
17.7,13.6,23.3,0.2,7184
17.3,12.1,23.9,0,7629
17.3,12.3,23.7,0,7629
17,13.1,22.6,0.1,7629
17.5,13.1,23.7,0.6,11678
16.3,10.6,21.7,0.5,12410
14.1,9.2,19.9,0,12410
14.8,9.4,22.3,0,12011
15.6,9.2,23.2,0,12011
17.8,12.3,22.6,12.9,12011
19,15.3,23.5,6.7,12011
15.6,13.1,19,2.3,10425
15.4,11.4,20.5,0.1,10425
15.7,10.4,22.8,0,10025
16.9,11.3,24.1,0,9626
17.7,14.1,22.7,3.9,9583
18.1,14.4,23.7,0.7,9583
17.6,13,24.6,0,9583
17.1,12.5,22.5,0.1,9000
17.3,13.3,22.9,0,8500
16.2,12.7,20.8,0.3,7600
15.8,11.4,20.9,0,6800
13.9,9.1,19.1,0,6100
14.5,8.2,21.9,0,6100
14.7,9.2,22.2,0.1,6100
14.2,8.9,21.7,0.1,5014
15.1,9.4,22.7,0,4729
15.3,10.5,21.9,0,4356
15.5,10.8,21.3,1.1,3860
15.5,10.8,22.1,0,3770
15.2,9.9,20.8,0.3,3770
16.1,13.5,20.5,8.1,3770
13.1,7.8,17.9,0.3,3688
5.3,0.8,9.8,0,3647
6.7,-0.5,13.3,0,3653
7.6,1.8,14.7,0,3698
9.1,1.3,17.3,0,3614
11.3,5.7,18.2,0,3614
11.3,5.8,17.9,0.6,3614
11.4,5.7,17.6,0,3594
8,3.1,12.6,0,3412
6.9,0.2,14,0,3362
9.1,2.5,16.9,0,3222
10.2,4.6,17.7,0,3184
10.7,5.2,18.1,0,3184
10.8,5.7,17.8,0.4,3184
9.4,4.5,14,1.5,3111
6.1,3.3,9.9,0.1,3154
5.8,0.2,12.3,0,3079
9.9,1.6,16.5,5.5,3142
10.2,4.3,15.3,0.3,3190
8.9,1.8,16.3,0,3190
9.2,5.2,14.4,0,3190
4.1,-0.9,8.8,0,3329
3.4,-2.7,10.6,0,3435
5.3,-0.1,12.6,0,3561
5.1,-0.6,13.4,0,3820
4.6,-0.9,12.2,0,3784
6.8,0,16,0,3784
9.5,2.4,17.3,0,3784
8.6,2.1,14.3,1.3,3958
5.6,-1.5,13.2,0,3927
