avgTemp,minTemp,maxTemp,rainFall,avgPrice
5.1,0.3,11.5,0,2183
5.9,1,12.9,0,2183
5.3,0.1,10.1,0,2215
0.6,-2.4,4.4,0.5,2266
0.7,-4.2,5.4,0,2269
0.4,-2.6,4.3,0,2271
-0.5,-3.8,3.9,0,2242
0.7,-3.8,5.5,0,2242
1.7,-2.8,6.7,0,2242
-0.7,-4.4,4.3,0,2307
-2.1,-7.1,3.7,0,2307
-1.2,-4.9,2.3,0.8,2318
-1.1,-5.5,3.3,0.1,2280
-0.2,-5.3,6.2,0.1,2280
0.8,-4,7.3,0,2280
2.1,-1.3,5.6,3.3,2280
-2,-7.3,3.1,0.9,2299
-7.5,-9.7,-4.6,0.8,2313
-6.9,-10.9,-2.3,0,2354
-4.7,-8.4,0,0,2440
-4.2,-9.3,0.7,0,2448
-7,-11.3,-3.5,1.2,2448
-10.8,-14.2,-7.4,1.5,2448
-6.6,-12.4,-1.3,0.3,2476
-1.7,-7,3.5,0.1,2598
0.2,-4.8,6.1,0,2715
0.3,-4.6,3.6,6.7,2730
2.3,0.3,4.4,8.2,2777
2.2,-1.2,6.4,0.6,2777
-0.5,-3.2,2.9,0,2777
-2.9,-6.2,1.7,0,2881
-3.4,-8.6,2.7,0,2908
-1.8,-8.3,4.9,0,2914
0.4,-4.8,5.9,0,2966
-0.2,-5,5.4,0,3026
-1.4,-5.6,3.3,0.5,3026
-1.8,-8,5,0,3026
1.7,-5.7,7.4,0.2,3026
2.6,-2.2,7.5,0,3026
2.2,-4.9,10.8,0,3026
6.8,-1.2,13.7,0.2,3003
9.7,6.9,12,20.7,3003
11.7,7.1,16.2,11.4,3003
1.1,-3,9.5,0.8,3003
-3.1,-6,0.1,0.2,3033
-0.1,-4.4,4,0.5,3047
1.2,-4.1,6.5,0,3078
3.6,-2.9,9.7,0.1,3124
4.5,-0.2,8.9,0,3124
3.5,-0.6,8.7,0,3124
1,-3.6,6,0,3124
2.7,-1.5,6.5,0,3160
3.3,-1.3,8.5,0.2,3160
-1,-4.7,3.4,0.6,3145
0.3,-5.9,6,0,3147
2.8,-2.3,7.3,0.8,3147
5.2,1.2,10.6,1.4,3147
4,-0.5,10.5,5.8,3147
-1.8,-4.8,1.3,0.3,3169
-1.4,-7.3,4.3,0,3169
3.2,-3.8,10.4,0,3530
7.2,-0.1,15.2,0,3672
9.4,4.5,13.7,9.7,3711
11.8,8.2,15.5,27.9,3711
10.3,5.3,15.6,2.5,3711
8.9,3.4,14.9,0,3741
5.9,2.4,9.3,2.8,3806
3.1,0.3,8.2,2,3878
1.3,-1.9,5.7,0.1,3930
0.7,-3.9,5.8,0,3924
2.5,-4.2,8.7,0,3924
4.3,1,8.4,0.2,3924
4.2,-0.5,10,0,3808
5.6,-2.5,13.3,0,3821
8.8,3,16.4,0,3821
10.2,0.9,18.3,0.1,3803
11.2,7.9,15.4,9.3,3851
10.4,5.2,16.8,0,3851
8.2,3.3,13.8,0,3851
8.6,2.3,15.6,0,3985
9.3,2,16.9,0,3905
8.1,4.1,13.6,0.5,3995
6.4,1.2,12,0.2,4063
5.8,1.4,11.1,0.2,4030
5.7,0.2,12.1,0.5,4030
7,0,14.1,0,4030
9.3,0.7,17.5,0,4059
11.9,4.8,18,0.1,4103
12.7,6.4,20.3,0,4088
12.4,4.8,20.7,0,4196
13.2,4.3,22.8,0,4117
13.9,5.7,21.5,0,4117
11.7,8.9,15.2,9.5,4117
11.2,7.6,15.6,1.8,4231
12,5.1,19.6,0,4228
12.8,5.7,21,12.2,4191
12.7,9.2,18,21.9,4303
13.9,8,21.7,0,4451
14.9,8.2,22.2,0,4451
13.6,8.2,21.3,0.4,4451
10.9,6.8,16.1,0.2,4462
12.5,6.2,19,0.6,4462
14.2,10.9,18.2,13.1,4462
14.7,9.6,21.3,0,4554
13.7,6.5,21.2,0,4505
14.6,7.9,20.7,29.2,4505
13.1,10.1,17.2,9.5,4505
13,8.3,18.9,1.2,4705
12.5,7.4,19,0,4875
13.9,7.3,20.3,0.7,4751
13.8,10.9,17.3,28.8,4733
17.1,11.2,24.6,0,4675
15.2,10.9,20.7,0,4675
14.3,7.2,22.1,0,4675
15.9,7.3,24.9,0,4612
17,8.7,25.4,1.4,4593
12.4,10.8,15.5,25,4504
13.6,9.6,19.2,2.4,4458
14.4,8.4,20.9,0.1,4426
16.5,8.8,23.8,0,4426
18.1,10.4,26.1,0,4426
18.9,11.8,25.9,7.8,4024
15.3,11.7,19.8,26.8,3999
17,11.7,22.3,0.2,3974
18.2,9.3,26,0.8,3974
17.9,13.9,22.5,1.7,3974
17.1,11.3,23.6,0,3974
17.4,9.3,24.8,0,3974
18.1,13.6,23.4,0.2,4009
13.9,12.2,17.2,20.1,3987
15.7,11.4,21.7,0.9,3994
18,11,25.1,0,3994
16.6,11.9,22.5,0.1,3987
17.3,10.5,23.9,0,3987
18.1,11.7,24.3,12.6,3987
15.4,9.9,21.7,5.9,3988
17.8,8.6,26.6,0,3999
20.3,11.4,29.3,0,3999
20.3,12.4,28.8,0,3810
19.9,11.9,28,0,3800
20.1,12.3,27.9,0,3800
20.2,12.4,28.1,0,3800
20.6,12.5,27.8,0,3793
18,15,21.3,20.3,3793
19.4,13.7,25.8,0,3793
20.4,15.1,25.9,0.1,3891
21.5,16.8,27.5,0.1,3854
20.9,16.3,27.1,0.4,3854
20.2,15.7,26.5,0.6,3854
21.3,14.4,28.4,0,3788
21.7,15.5,28.1,0,3701
20.9,15.8,26.5,0,3588
20.2,13.1,27,0,3499
21.6,14.3,28.3,0,3401
19.4,16.3,22.9,3.9,3401
21,15,27.3,0,3401
19.5,16.8,22.6,0.7,3401
21.2,17.9,25.9,0.3,3397
21,18.1,25,1.7,3353
22.2,17.4,28.3,0,3072
22.8,17.7,28.8,0,3023
23.6,19.3,28.6,2.1,3023
23.1,20.4,26.5,2.6,3023
22.5,19.2,27.7,0.1,2931
22.1,18.4,27.4,0.5,2860
21.5,18.7,24.9,4.8,2874
22.1,19.1,25.9,1.7,2792
23.2,17.5,29.5,0,2713
23.7,17.9,29.8,0.8,2713
23.8,19.8,29.2,1.4,2713
23.2,18.5,28.4,5.7,2724
23.6,20.1,28.1,0.3,2751
22.8,20.6,26.4,7,2762
24.2,19.9,29.4,0.1,2754
21.9,19.9,25.2,30.3,2799
22.7,18.8,27.3,0,2799
23.2,17.5,29.3,0,2799
22.1,17.6,27,1,2833
22.4,17.8,27.4,0.5,2825
22.8,19.2,26.7,0.9,2825
24.4,20.8,29.2,1,2777
24.2,22,27.6,55.2,2752
23.6,21.5,27,24.6,2752
22.4,20,25.3,22.3,2752
22.2,20.2,24.7,53.2,2832
24.8,21.5,28.6,39.5,2860
23.6,21.2,27.4,27.8,2899
24.2,20.9,29,1.2,2933
25.4,20.8,31.2,1,2950
26.1,21.2,32.1,0,2950
26,21.7,31.1,0,2950
25.6,22.2,30.3,2.9,3032
24.6,22.4,28,8.2,3068
25.6,22.1,29.9,0.1,3115
25,21.4,30,2.3,3191
24.5,20.7,28.7,0.8,3214
21.7,20.4,23.8,27.9,3214
23.3,20.7,27,0.9,3214
23.7,19.7,28.7,0,3299
25,20.4,30,0.1,3351
25.3,21.6,29.8,0,3416
25.1,21.5,29.7,0,3354
