avgTemp,minTemp,maxTemp,rainFall,avgPrice
-0.4,-4.9,5.2,0,2901
0.2,-5.3,5.8,0,2905
-1.6,-5.3,2.8,0,2927
-1.7,-5.6,2.3,0,2940
-0.1,-3.4,4.7,0,2960
-0.7,-5.4,5.5,0,2960
-0.3,-6.5,4.4,0.5,2960
2.3,0.1,4.8,2.4,3024
-1.3,-3.4,1.5,1.4,2967
-4.5,-8.1,-0.7,2.2,2952
-8.2,-11.3,-4.3,0.8,2961
-8.5,-13.4,-3.7,0,2981
-3.1,-8.8,3.1,0.1,2981
-0.3,-7,6.7,0,2981
4.4,-0.9,10.8,0,3053
3.8,-0.8,8.2,7,3071
4.3,1.7,7.8,5,3076
3.7,0.1,7.8,0,3055
1.3,-3,7.3,0,3069
1.2,-4.1,7.7,0,3069
1.2,-3.9,7.5,0,3069
2.9,-0.6,7.6,1.2,3083
-6.4,-10,0.7,0,3179
-10.4,-13.4,-6.5,0,3155
-9.9,-13.9,-5.1,0,3115
-10.4,-14.2,-5.4,0,3115
-7,-14.6,0.4,0,3115
-2.7,-5.8,1.8,0,3115
-5.9,-9.3,-1.7,0.1,3176
-4.6,-11.3,1.4,0.1,3363
-1,-6,3.9,0,3471
-2.1,-7.7,4.4,0,3749
-2.4,-8.3,4.4,0,3837
-4.5,-8.1,-0.8,0.3,3837
-7.1,-10.6,-3.1,0.2,3837
-7.4,-11.8,-2.6,0.1,4052
-8,-12.3,-3.5,0.1,4261
-6.7,-13.3,0,0,4181
-3.6,-11,4.6,0,4307
1.4,-6.2,8.6,0,4307
1.5,-4,7,0,4307
-3.6,-7.2,0.1,0.7,4307
-4.1,-8.9,-0.1,0.4,4576
-0.7,-7.2,5.1,0.1,4512
4.7,-3.3,11.9,0,4479
1.9,-2.7,7.5,0,4479
1,-5.1,7.6,0,4479
-0.2,-4.4,4.6,0,4479
0.8,-4.2,6.8,0,4479
2.8,-2.5,9.2,0,4527
2.7,-3.9,9.1,0,4359
0.5,-3.8,5.4,0,4301
0.6,-6.2,7.3,0.1,4302
4.4,-2.7,10.3,1,4306
4.6,-0.4,10.8,0.1,4306
3.8,-0.8,10.5,0,4306
3.1,-4.2,11.7,0,4241
5.1,-2.7,12.5,0,4277
5.6,2.4,9.1,29.2,4280
2.8,-1.7,6.6,0.9,4280
1.3,-5,8.9,0,4283
7.6,-1.4,16.6,0,4283
11.8,5.9,17.4,16,4283
5.7,2.3,11.6,12.1,4303
4.7,-0.7,11.1,0,4311
5.1,1.4,9.1,5.1,4295
3.3,1,6.3,16.7,4269
3.5,0.2,7.7,0.1,4322
4.8,-1.1,11.4,0,4322
6.4,0.7,13.8,0,4322
7.9,-0.4,16.9,0,4347
12.3,3.3,20.2,0,4314
15.2,8,22.5,0,4281
12.8,7.9,16.4,23.9,4297
5.2,1.5,10.1,0.7,4289
5.4,-1.1,12.6,0,4289
8,1.9,13,6,4289
8.5,5.6,11.4,19.9,4260
5.3,1.9,8.7,0.6,4254
1.8,0.3,3.7,8.6,4273
5,0.3,11.4,0,4273
6.2,-0.7,13.5,0,4241
9.1,2.1,15.9,0,4241
10.8,3.9,18.7,0,4241
12,4.7,20.3,0,4251
13.7,5.5,21.6,0,4290
15,7.5,22.1,0,4307
14.5,8.8,21.6,0,4291
12.7,7.5,19.3,0,4299
14,6.3,22,0,4299
15.8,9.7,21.7,0,4299
17.8,11.5,24.6,0,4321
18,11.7,24.5,0.1,4306
11.5,8.4,16.6,14.9,4306
