Date,avgTemp,minTemp,maxTemp,rainFall,avgPrice,avgWind,maxWind,avgPress,maxPress,minPress,avgHumid,minHumid,sunTime,sumAmount
1,-0.2,-4.1,4.4,39.1,"2,418",9.5,24.2,1024.7,1184.6,1014.2,0.77,0.46,175.9,299.98
2,-0.3,-5.7,5.6,8,"2,146",10.9,24,1024.5,1036.9,1006.1,0.7,0.3,241.4,446.93
3,7,1.5,13.2,52,"1,993",7.8,20.2,1017.7,1028.7,1006.1,0.75,0.32,222.1,516.05
4,13,7,19.5,48.5,"2,385",6,21.4,1014.9,1023.9,1002.5,0.75,0.26,225.8,604.44
5,17.4,11.6,23.6,103.6,"1,880",5.3,20.1,1009.7,1020,998.2,0.8,0.21,237.9,673.58
6,20.5,16.4,25.2,186.3,"1,629",5.1,18.5,1009.9,1018.7,999.7,0.88,0.53,199.7,607.91
7,26,22.7,30.4,233.5,"1,694",5,14.1,1007.1,1014.6,1000.8,0.92,0.62,229.6,659.78
8,24.7,20.8,29.5,190.5,"2,456",4.7,18.1,1008.2,1014.9,995.8,0.89,0.57,251.7,646.11
9,21.5,17.1,27,55.3,"2,780",4.4,18.2,1013,1022,1004.9,0.84,0.49,202.3,534.76
10,15.8,10.6,22.3,32,"1,974",5.5,16.7,1017.7,1025.1,1009.2,0.79,0.34,227,476.58
11,7.9,2.9,13.7,21.5,"1,634",8,25,1020.9,1029.7,1013,0.78,0.36,185.3,335.59
12,2.1,-2.8,7.7,18.3,"1,743",9.6,27.6,1022.5,1031.5,1014.3,0.74,0.4,215.3,304.43
1,-1,-6,4.8,12.3,"1,616",10.4,26.1,1024.3,1033.6,1012.6,0.77,0.35,218.4,352.04
2,4.1,-0.9,9.6,36,"1,606",7.8,22.3,1019.4,1032.8,1003.2,0.79,0.4,167.8,348.18
3,6.9,1.3,12.7,54.7,"2,247",8.5,25.4,1018.5,1030.6,998,0.73,0.2,223.1,543.56
4,12.6,6.3,19.4,55.5,"3,671",6.6,22.5,1014.9,1027.8,994.7,0.74,0.22,259,663.59
5,18.3,12.3,24.8,121.1,"4,615",5.8,18,1011.6,1024.8,1001.7,0.76,0.25,265.8,753.04
6,21.8,17.1,27.2,125.2,"2,842",5,17.9,1005.4,1016.5,995.8,0.86,0.44,226.3,654.69
7,23.6,20.3,27.9,476.4,"2,248",5.4,20.9,1005.9,1014.2,996.4,0.92,0.57,198.4,574.58
8,24.5,20.8,29.1,150.4,"2,877",4.6,15.6,1009.7,1018.4,998.6,0.88,0.53,224.1,609.2
